Fuel,Year,Month,Registrations,Month_Num
BIO-CNG/BIO-GAS,2014,JAN,0,1
CNG ONLY,2014,JAN,2131,1
DIESEL,2014,JAN,270106,1
DIESEL/HYBRID,2014,JAN,3,1
DUAL DIESEL/CNG,2014,JAN,0,1
ELECTRIC(BOV),2014,JAN,230,1
ETHANOL,2014,JAN,0,1
FLEX-FUEL(BIO-DIESEL),2014,JAN,0,1
FUEL CELL HYDROGEN,2014,JAN,0,1
LNG,2014,JAN,0,1
LPG ONLY,2014,JAN,188,1
METHANOL,2014,JAN,0,1
NOT APPLICABLE,2014,JAN,10218,1
PETROL,2014,JAN,1343983,1
PETROL(E20)/CNG,2014,JAN,1,1
PETROL(E20)/LPG,2014,JAN,0,1
PETROL/CNG,2014,JAN,21438,1
PETROL/ETHANOL,2014,JAN,8,1
PETROL/HYBRID,2014,JAN,0,1
PETROL/LPG,2014,JAN,6310,1
PURE EV,2014,JAN,0,1
SOLAR,2014,JAN,8,1
BIO-CNG/BIO-GAS,2014,FEB,0,2
CNG ONLY,2014,FEB,1680,2
DIESEL,2014,FEB,218929,2
DIESEL/HYBRID,2014,FEB,3,2
DUAL DIESEL/CNG,2014,FEB,0,2
ELECTRIC(BOV),2014,FEB,170,2
ETHANOL,2014,FEB,1,2
FLEX-FUEL(BIO-DIESEL),2014,FEB,0,2
FUEL CELL HYDROGEN,2014,FEB,0,2
LNG,2014,FEB,0,2
LPG ONLY,2014,FEB,115,2
METHANOL,2014,FEB,0,2
NOT APPLICABLE,2014,FEB,8823,2
PETROL,2014,FEB,1173528,2
PETROL(E20)/CNG,2014,FEB,0,2
PETROL(E20)/LPG,2014,FEB,1,2
PETROL/CNG,2014,FEB,15840,2
PETROL/ETHANOL,2014,FEB,3,2
PETROL/HYBRID,2014,FEB,1,2
PETROL/LPG,2014,FEB,4810,2
PURE EV,2014,FEB,0,2
SOLAR,2014,FEB,15,2
BIO-CNG/BIO-GAS,2014,MAR,0,3
CNG ONLY,2014,MAR,2077,3
DIESEL,2014,MAR,257773,3
DIESEL/HYBRID,2014,MAR,3,3
DUAL DIESEL/CNG,2014,MAR,1,3
ELECTRIC(BOV),2014,MAR,218,3
ETHANOL,2014,MAR,1,3
FLEX-FUEL(BIO-DIESEL),2014,MAR,0,3
FUEL CELL HYDROGEN,2014,MAR,0,3
LNG,2014,MAR,0,3
LPG ONLY,2014,MAR,105,3
METHANOL,2014,MAR,1,3
NOT APPLICABLE,2014,MAR,10969,3
PETROL,2014,MAR,1326348,3
PETROL(E20)/CNG,2014,MAR,0,3
PETROL(E20)/LPG,2014,MAR,0,3
PETROL/CNG,2014,MAR,19505,3
PETROL/ETHANOL,2014,MAR,2,3
PETROL/HYBRID,2014,MAR,0,3
PETROL/LPG,2014,MAR,5625,3
PURE EV,2014,MAR,1,3
SOLAR,2014,MAR,14,3
BIO-CNG/BIO-GAS,2014,APR,0,4
CNG ONLY,2014,APR,1777,4
DIESEL,2014,APR,221766,4
DIESEL/HYBRID,2014,APR,3,4
DUAL DIESEL/CNG,2014,APR,1,4
ELECTRIC(BOV),2014,APR,241,4
ETHANOL,2014,APR,0,4
FLEX-FUEL(BIO-DIESEL),2014,APR,1,4
FUEL CELL HYDROGEN,2014,APR,0,4
LNG,2014,APR,0,4
LPG ONLY,2014,APR,121,4
METHANOL,2014,APR,0,4
NOT APPLICABLE,2014,APR,8402,4
PETROL,2014,APR,1293141,4
PETROL(E20)/CNG,2014,APR,0,4
PETROL(E20)/LPG,2014,APR,1,4
PETROL/CNG,2014,APR,20532,4
PETROL/ETHANOL,2014,APR,3,4
PETROL/HYBRID,2014,APR,0,4
PETROL/LPG,2014,APR,5606,4
PURE EV,2014,APR,0,4
SOLAR,2014,APR,18,4
BIO-CNG/BIO-GAS,2014,MAY,0,5
CNG ONLY,2014,MAY,1786,5
DIESEL,2014,MAY,236482,5
DIESEL/HYBRID,2014,MAY,6,5
DUAL DIESEL/CNG,2014,MAY,0,5
ELECTRIC(BOV),2014,MAY,187,5
ETHANOL,2014,MAY,2,5
FLEX-FUEL(BIO-DIESEL),2014,MAY,0,5
FUEL CELL HYDROGEN,2014,MAY,0,5
LNG,2014,MAY,0,5
LPG ONLY,2014,MAY,103,5
METHANOL,2014,MAY,0,5
NOT APPLICABLE,2014,MAY,9499,5
PETROL,2014,MAY,1405284,5
PETROL(E20)/CNG,2014,MAY,1,5
PETROL(E20)/LPG,2014,MAY,0,5
PETROL/CNG,2014,MAY,21532,5
PETROL/ETHANOL,2014,MAY,4,5
PETROL/HYBRID,2014,MAY,1,5
PETROL/LPG,2014,MAY,6335,5
PURE EV,2014,MAY,0,5
SOLAR,2014,MAY,14,5
BIO-CNG/BIO-GAS,2014,JUN,0,6
CNG ONLY,2014,JUN,1713,6
DIESEL,2014,JUN,236278,6
DIESEL/HYBRID,2014,JUN,2,6
DUAL DIESEL/CNG,2014,JUN,0,6
ELECTRIC(BOV),2014,JUN,141,6
ETHANOL,2014,JUN,0,6
FLEX-FUEL(BIO-DIESEL),2014,JUN,0,6
FUEL CELL HYDROGEN,2014,JUN,0,6
LNG,2014,JUN,0,6
LPG ONLY,2014,JUN,96,6
METHANOL,2014,JUN,0,6
NOT APPLICABLE,2014,JUN,9818,6
PETROL,2014,JUN,1343141,6
PETROL(E20)/CNG,2014,JUN,0,6
PETROL(E20)/LPG,2014,JUN,0,6
PETROL/CNG,2014,JUN,22156,6
PETROL/ETHANOL,2014,JUN,2,6
PETROL/HYBRID,2014,JUN,2,6
PETROL/LPG,2014,JUN,7251,6
PURE EV,2014,JUN,0,6
SOLAR,2014,JUN,14,6
BIO-CNG/BIO-GAS,2014,JUL,1,7
CNG ONLY,2014,JUL,2024,7
