State,EV_Registrations,Total_Registrations,EV_Share_Pct,Year
ANDAMAN & NICOBAR ISLAND,3,18236,0.02,2019
ANDHRA PRADESH,3532,2294304,0.15,2019
ARUNACHAL PRADESH,46,70196,0.07,2019
ASSAM,12810,1032042,1.24,2019
BIHAR,13863,2534844,0.55,2019
CHANDIGARH,1314,92256,1.42,2019
CHHATTISGARH,5573,1337132,0.42,2019
DELHI,32536,1272944,2.56,2019
GOA,1618,148330,1.09,2019
GUJARAT,11275,3257848,0.35,2019
HARYANA,10819,1697914,0.64,2019
HIMACHAL PRADESH,982,277746,0.35,2019
JAMMU AND KASHMIR,610,289592,0.21,2019
JHARKHAND,3927,1118998,0.35,2019
KARNATAKA,16519,3160820,0.52,2019
KERALA,8283,1832480,0.45,2019
LADAKH,8,4172,0.19,2019
LAKSHADWEEP,1,3150,0.03,2019
MADHYA PRADESH,7969,3068858,0.26,2019
MAHARASHTRA,26696,4614046,0.58,2019
MANIPUR,400,75724,0.53,2019
MEGHALAYA,141,66774,0.21,2019
MIZORAM,32,61664,0.05,2019
NAGALAND,112,58318,0.19,2019
ODISHA,3502,1651576,0.21,2019
PUDUCHERRY,524,116804,0.45,2019
PUNJAB,3747,1523602,0.25,2019
RAJASTHAN,11719,2961992,0.4,2019
SIKKIM,11,20678,0.05,2019
TAMIL NADU,13829,3941882,0.35,2019
TRIPURA,1545,112708,1.37,2019
UT OF DNH AND DD,250,36492,0.69,2019
UTTAR PRADESH,65627,6723990,0.98,2019
UTTARAKHAND,6790,491822,1.38,2019
WEST BENGAL,16721,2353192,0.71,2019
ANDAMAN & NICOBAR ISLAND,56,12438,0.45,2020
ANDHRA PRADESH,5535,1976128,0.28,2020
ARUNACHAL PRADESH,57,42012,0.14,2020
ASSAM,10188,813250,1.25,2020
BIHAR,14171,2074088,0.68,2020
CHANDIGARH,900,61324,1.47,2020
CHHATTISGARH,4303,963670,0.45,2020
DELHI,17687,845336,2.09,2020
GOA,822,84840,0.97,2020
GUJARAT,8205,2249398,0.36,2020
HARYANA,6045,1210094,0.5,2020
HIMACHAL PRADESH,917,267662,0.34,2020
JAMMU AND KASHMIR,554,368884,0.15,2020
JHARKHAND,3711,966288,0.38,2020
KARNATAKA,19176,2412556,0.79,2020
KERALA,8019,1282800,0.63,2020
LADAKH,13,4914,0.26,2020
LAKSHADWEEP,7,2118,0.33,2020
MADHYA PRADESH,6841,2524732,0.27,2020
MAHARASHTRA,19468,3550056,0.55,2020
MANIPUR,198,32480,0.61,2020
MEGHALAYA,119,46964,0.25,2020
MIZORAM,47,46660,0.1,2020
NAGALAND,108,32880,0.33,2020
ODISHA,3461,1202514,0.29,2020
PUDUCHERRY,498,84358,0.59,2020
PUNJAB,2669,1031214,0.26,2020
RAJASTHAN,8923,2218582,0.4,2020
SIKKIM,12,14372,0.08,2020
TAMIL NADU,15502,2985848,0.52,2020
TRIPURA,3520,102176,3.45,2020
UT OF DNH AND DD,156,26302,0.59,2020
